sku,trade_id,trade_name,category,tier_id,tier_name,duration_id,duration_name,hours,billable_hourly_usd,multiplier,total_usd,stripe_product_name,stripe_product_description,stripe_price_currency,stripe_price_amount_cents,client_reference_id_template
concrete_apprentice_half,concrete,Concrete Workers,structural,apprentice,Apprentice,half,Half Day,4,48,1.0,192,Apprentice Concrete Workers — Half Day (4h),"Apprentice-tier concrete workers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,19200,concrete_apprentice_half_192
concrete_apprentice_full,concrete,Concrete Workers,structural,apprentice,Apprentice,full,Full Day,8,48,1.0,384,Apprentice Concrete Workers — Full Day (8h),"Apprentice-tier concrete workers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,38400,concrete_apprentice_full_384
concrete_apprentice_weekly,concrete,Concrete Workers,structural,apprentice,Apprentice,weekly,Weekly,40,48,0.92,1766,Apprentice Concrete Workers — Weekly (40h),"Apprentice-tier concrete workers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,176600,concrete_apprentice_weekly_1766
concrete_journeyman_half,concrete,Concrete Workers,structural,journeyman,Journeyman,half,Half Day,4,68,1.0,272,Journeyman Concrete Workers — Half Day (4h),"Journeyman-tier concrete workers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,27200,concrete_journeyman_half_272
concrete_journeyman_full,concrete,Concrete Workers,structural,journeyman,Journeyman,full,Full Day,8,68,1.0,544,Journeyman Concrete Workers — Full Day (8h),"Journeyman-tier concrete workers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,54400,concrete_journeyman_full_544
concrete_journeyman_weekly,concrete,Concrete Workers,structural,journeyman,Journeyman,weekly,Weekly,40,68,0.92,2502,Journeyman Concrete Workers — Weekly (40h),"Journeyman-tier concrete workers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,250200,concrete_journeyman_weekly_2502
concrete_master_half,concrete,Concrete Workers,structural,master,Master / Foreman,half,Half Day,4,88,1.0,352,Master / Foreman Concrete Workers — Half Day (4h),"Master / Foreman-tier concrete workers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,35200,concrete_master_half_352
concrete_master_full,concrete,Concrete Workers,structural,master,Master / Foreman,full,Full Day,8,88,1.0,704,Master / Foreman Concrete Workers — Full Day (8h),"Master / Foreman-tier concrete workers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,70400,concrete_master_full_704
concrete_master_weekly,concrete,Concrete Workers,structural,master,Master / Foreman,weekly,Weekly,40,88,0.92,3238,Master / Foreman Concrete Workers — Weekly (40h),"Master / Foreman-tier concrete workers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,323800,concrete_master_weekly_3238
drywall_apprentice_half,drywall,Drywall Hangers,structural,apprentice,Apprentice,half,Half Day,4,42,1.0,168,Apprentice Drywall Hangers — Half Day (4h),"Apprentice-tier drywall hangers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,16800,drywall_apprentice_half_168
drywall_apprentice_full,drywall,Drywall Hangers,structural,apprentice,Apprentice,full,Full Day,8,42,1.0,336,Apprentice Drywall Hangers — Full Day (8h),"Apprentice-tier drywall hangers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,33600,drywall_apprentice_full_336
drywall_apprentice_weekly,drywall,Drywall Hangers,structural,apprentice,Apprentice,weekly,Weekly,40,42,0.92,1546,Apprentice Drywall Hangers — Weekly (40h),"Apprentice-tier drywall hangers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,154600,drywall_apprentice_weekly_1546
drywall_journeyman_half,drywall,Drywall Hangers,structural,journeyman,Journeyman,half,Half Day,4,62,1.0,248,Journeyman Drywall Hangers — Half Day (4h),"Journeyman-tier drywall hangers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,24800,drywall_journeyman_half_248
drywall_journeyman_full,drywall,Drywall Hangers,structural,journeyman,Journeyman,full,Full Day,8,62,1.0,496,Journeyman Drywall Hangers — Full Day (8h),"Journeyman-tier drywall hangers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,49600,drywall_journeyman_full_496
drywall_journeyman_weekly,drywall,Drywall Hangers,structural,journeyman,Journeyman,weekly,Weekly,40,62,0.92,2282,Journeyman Drywall Hangers — Weekly (40h),"Journeyman-tier drywall hangers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,228200,drywall_journeyman_weekly_2282
drywall_master_half,drywall,Drywall Hangers,structural,master,Master / Foreman,half,Half Day,4,82,1.0,328,Master / Foreman Drywall Hangers — Half Day (4h),"Master / Foreman-tier drywall hangers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,32800,drywall_master_half_328
drywall_master_full,drywall,Drywall Hangers,structural,master,Master / Foreman,full,Full Day,8,82,1.0,656,Master / Foreman Drywall Hangers — Full Day (8h),"Master / Foreman-tier drywall hangers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,65600,drywall_master_full_656
drywall_master_weekly,drywall,Drywall Hangers,structural,master,Master / Foreman,weekly,Weekly,40,82,0.92,3018,Master / Foreman Drywall Hangers — Weekly (40h),"Master / Foreman-tier drywall hangers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,301800,drywall_master_weekly_3018
electricians_apprentice_half,electricians,Electricians,electrical,apprentice,Apprentice,half,Half Day,4,58,1.0,232,Apprentice Electricians — Half Day (4h),"Apprentice-tier electricians for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,23200,electricians_apprentice_half_232
electricians_apprentice_full,electricians,Electricians,electrical,apprentice,Apprentice,full,Full Day,8,58,1.0,464,Apprentice Electricians — Full Day (8h),"Apprentice-tier electricians for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,46400,electricians_apprentice_full_464
electricians_apprentice_weekly,electricians,Electricians,electrical,apprentice,Apprentice,weekly,Weekly,40,58,0.92,2134,Apprentice Electricians — Weekly (40h),"Apprentice-tier electricians for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,213400,electricians_apprentice_weekly_2134
electricians_journeyman_half,electricians,Electricians,electrical,journeyman,Journeyman,half,Half Day,4,85,1.0,340,Journeyman Electricians — Half Day (4h),"Journeyman-tier electricians for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,34000,electricians_journeyman_half_340
electricians_journeyman_full,electricians,Electricians,electrical,journeyman,Journeyman,full,Full Day,8,85,1.0,680,Journeyman Electricians — Full Day (8h),"Journeyman-tier electricians for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,68000,electricians_journeyman_full_680
electricians_journeyman_weekly,electricians,Electricians,electrical,journeyman,Journeyman,weekly,Weekly,40,85,0.92,3128,Journeyman Electricians — Weekly (40h),"Journeyman-tier electricians for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,312800,electricians_journeyman_weekly_3128
electricians_master_half,electricians,Electricians,electrical,master,Master / Foreman,half,Half Day,4,115,1.0,460,Master / Foreman Electricians — Half Day (4h),"Master / Foreman-tier electricians for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,46000,electricians_master_half_460
electricians_master_full,electricians,Electricians,electrical,master,Master / Foreman,full,Full Day,8,115,1.0,920,Master / Foreman Electricians — Full Day (8h),"Master / Foreman-tier electricians for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,92000,electricians_master_full_920
electricians_master_weekly,electricians,Electricians,electrical,master,Master / Foreman,weekly,Weekly,40,115,0.92,4232,Master / Foreman Electricians — Weekly (40h),"Master / Foreman-tier electricians for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,423200,electricians_master_weekly_4232
hvac_apprentice_half,hvac,HVAC Technicians,mechanical,apprentice,Apprentice,half,Half Day,4,52,1.0,208,Apprentice HVAC Technicians — Half Day (4h),"Apprentice-tier hvac technicians for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,20800,hvac_apprentice_half_208
hvac_apprentice_full,hvac,HVAC Technicians,mechanical,apprentice,Apprentice,full,Full Day,8,52,1.0,416,Apprentice HVAC Technicians — Full Day (8h),"Apprentice-tier hvac technicians for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,41600,hvac_apprentice_full_416
hvac_apprentice_weekly,hvac,HVAC Technicians,mechanical,apprentice,Apprentice,weekly,Weekly,40,52,0.92,1914,Apprentice HVAC Technicians — Weekly (40h),"Apprentice-tier hvac technicians for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,191400,hvac_apprentice_weekly_1914
hvac_journeyman_half,hvac,HVAC Technicians,mechanical,journeyman,Journeyman,half,Half Day,4,78,1.0,312,Journeyman HVAC Technicians — Half Day (4h),"Journeyman-tier hvac technicians for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,31200,hvac_journeyman_half_312
hvac_journeyman_full,hvac,HVAC Technicians,mechanical,journeyman,Journeyman,full,Full Day,8,78,1.0,624,Journeyman HVAC Technicians — Full Day (8h),"Journeyman-tier hvac technicians for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,62400,hvac_journeyman_full_624
hvac_journeyman_weekly,hvac,HVAC Technicians,mechanical,journeyman,Journeyman,weekly,Weekly,40,78,0.92,2870,Journeyman HVAC Technicians — Weekly (40h),"Journeyman-tier hvac technicians for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,287000,hvac_journeyman_weekly_2870
hvac_master_half,hvac,HVAC Technicians,mechanical,master,Master / Foreman,half,Half Day,4,105,1.0,420,Master / Foreman HVAC Technicians — Half Day (4h),"Master / Foreman-tier hvac technicians for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,42000,hvac_master_half_420
hvac_master_full,hvac,HVAC Technicians,mechanical,master,Master / Foreman,full,Full Day,8,105,1.0,840,Master / Foreman HVAC Technicians — Full Day (8h),"Master / Foreman-tier hvac technicians for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,84000,hvac_master_full_840
hvac_master_weekly,hvac,HVAC Technicians,mechanical,master,Master / Foreman,weekly,Weekly,40,105,0.92,3864,Master / Foreman HVAC Technicians — Weekly (40h),"Master / Foreman-tier hvac technicians for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,386400,hvac_master_weekly_3864
commercial-hvac_apprentice_half,commercial-hvac,Commercial HVAC,mechanical,apprentice,Apprentice,half,Half Day,4,62,1.0,248,Apprentice Commercial HVAC — Half Day (4h),"Apprentice-tier commercial hvac for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,24800,commercial-hvac_apprentice_half_248
commercial-hvac_apprentice_full,commercial-hvac,Commercial HVAC,mechanical,apprentice,Apprentice,full,Full Day,8,62,1.0,496,Apprentice Commercial HVAC — Full Day (8h),"Apprentice-tier commercial hvac for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,49600,commercial-hvac_apprentice_full_496
commercial-hvac_apprentice_weekly,commercial-hvac,Commercial HVAC,mechanical,apprentice,Apprentice,weekly,Weekly,40,62,0.92,2282,Apprentice Commercial HVAC — Weekly (40h),"Apprentice-tier commercial hvac for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,228200,commercial-hvac_apprentice_weekly_2282
commercial-hvac_journeyman_half,commercial-hvac,Commercial HVAC,mechanical,journeyman,Journeyman,half,Half Day,4,92,1.0,368,Journeyman Commercial HVAC — Half Day (4h),"Journeyman-tier commercial hvac for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,36800,commercial-hvac_journeyman_half_368
commercial-hvac_journeyman_full,commercial-hvac,Commercial HVAC,mechanical,journeyman,Journeyman,full,Full Day,8,92,1.0,736,Journeyman Commercial HVAC — Full Day (8h),"Journeyman-tier commercial hvac for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,73600,commercial-hvac_journeyman_full_736
commercial-hvac_journeyman_weekly,commercial-hvac,Commercial HVAC,mechanical,journeyman,Journeyman,weekly,Weekly,40,92,0.92,3386,Journeyman Commercial HVAC — Weekly (40h),"Journeyman-tier commercial hvac for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,338600,commercial-hvac_journeyman_weekly_3386
commercial-hvac_master_half,commercial-hvac,Commercial HVAC,mechanical,master,Master / Foreman,half,Half Day,4,125,1.0,500,Master / Foreman Commercial HVAC — Half Day (4h),"Master / Foreman-tier commercial hvac for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,50000,commercial-hvac_master_half_500
commercial-hvac_master_full,commercial-hvac,Commercial HVAC,mechanical,master,Master / Foreman,full,Full Day,8,125,1.0,1000,Master / Foreman Commercial HVAC — Full Day (8h),"Master / Foreman-tier commercial hvac for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,100000,commercial-hvac_master_full_1000
commercial-hvac_master_weekly,commercial-hvac,Commercial HVAC,mechanical,master,Master / Foreman,weekly,Weekly,40,125,0.92,4600,Master / Foreman Commercial HVAC — Weekly (40h),"Master / Foreman-tier commercial hvac for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,460000,commercial-hvac_master_weekly_4600
ironworkers_apprentice_half,ironworkers,Ironworkers,structural,apprentice,Apprentice,half,Half Day,4,55,1.0,220,Apprentice Ironworkers — Half Day (4h),"Apprentice-tier ironworkers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,22000,ironworkers_apprentice_half_220
ironworkers_apprentice_full,ironworkers,Ironworkers,structural,apprentice,Apprentice,full,Full Day,8,55,1.0,440,Apprentice Ironworkers — Full Day (8h),"Apprentice-tier ironworkers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,44000,ironworkers_apprentice_full_440
ironworkers_apprentice_weekly,ironworkers,Ironworkers,structural,apprentice,Apprentice,weekly,Weekly,40,55,0.92,2024,Apprentice Ironworkers — Weekly (40h),"Apprentice-tier ironworkers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,202400,ironworkers_apprentice_weekly_2024
ironworkers_journeyman_half,ironworkers,Ironworkers,structural,journeyman,Journeyman,half,Half Day,4,80,1.0,320,Journeyman Ironworkers — Half Day (4h),"Journeyman-tier ironworkers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,32000,ironworkers_journeyman_half_320
ironworkers_journeyman_full,ironworkers,Ironworkers,structural,journeyman,Journeyman,full,Full Day,8,80,1.0,640,Journeyman Ironworkers — Full Day (8h),"Journeyman-tier ironworkers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,64000,ironworkers_journeyman_full_640
ironworkers_journeyman_weekly,ironworkers,Ironworkers,structural,journeyman,Journeyman,weekly,Weekly,40,80,0.92,2944,Journeyman Ironworkers — Weekly (40h),"Journeyman-tier ironworkers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,294400,ironworkers_journeyman_weekly_2944
ironworkers_master_half,ironworkers,Ironworkers,structural,master,Master / Foreman,half,Half Day,4,108,1.0,432,Master / Foreman Ironworkers — Half Day (4h),"Master / Foreman-tier ironworkers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,43200,ironworkers_master_half_432
ironworkers_master_full,ironworkers,Ironworkers,structural,master,Master / Foreman,full,Full Day,8,108,1.0,864,Master / Foreman Ironworkers — Full Day (8h),"Master / Foreman-tier ironworkers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,86400,ironworkers_master_full_864
ironworkers_master_weekly,ironworkers,Ironworkers,structural,master,Master / Foreman,weekly,Weekly,40,108,0.92,3974,Master / Foreman Ironworkers — Weekly (40h),"Master / Foreman-tier ironworkers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,397400,ironworkers_master_weekly_3974
linemen_apprentice_half,linemen,Linemen,electrical,apprentice,Apprentice,half,Half Day,4,68,1.0,272,Apprentice Linemen — Half Day (4h),"Apprentice-tier linemen for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,27200,linemen_apprentice_half_272
linemen_apprentice_full,linemen,Linemen,electrical,apprentice,Apprentice,full,Full Day,8,68,1.0,544,Apprentice Linemen — Full Day (8h),"Apprentice-tier linemen for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,54400,linemen_apprentice_full_544
linemen_apprentice_weekly,linemen,Linemen,electrical,apprentice,Apprentice,weekly,Weekly,40,68,0.92,2502,Apprentice Linemen — Weekly (40h),"Apprentice-tier linemen for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,250200,linemen_apprentice_weekly_2502
linemen_journeyman_half,linemen,Linemen,electrical,journeyman,Journeyman,half,Half Day,4,98,1.0,392,Journeyman Linemen — Half Day (4h),"Journeyman-tier linemen for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,39200,linemen_journeyman_half_392
linemen_journeyman_full,linemen,Linemen,electrical,journeyman,Journeyman,full,Full Day,8,98,1.0,784,Journeyman Linemen — Full Day (8h),"Journeyman-tier linemen for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,78400,linemen_journeyman_full_784
linemen_journeyman_weekly,linemen,Linemen,electrical,journeyman,Journeyman,weekly,Weekly,40,98,0.92,3606,Journeyman Linemen — Weekly (40h),"Journeyman-tier linemen for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,360600,linemen_journeyman_weekly_3606
linemen_master_half,linemen,Linemen,electrical,master,Master / Foreman,half,Half Day,4,135,1.0,540,Master / Foreman Linemen — Half Day (4h),"Master / Foreman-tier linemen for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,54000,linemen_master_half_540
linemen_master_full,linemen,Linemen,electrical,master,Master / Foreman,full,Full Day,8,135,1.0,1080,Master / Foreman Linemen — Full Day (8h),"Master / Foreman-tier linemen for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,108000,linemen_master_full_1080
linemen_master_weekly,linemen,Linemen,electrical,master,Master / Foreman,weekly,Weekly,40,135,0.92,4968,Master / Foreman Linemen — Weekly (40h),"Master / Foreman-tier linemen for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,496800,linemen_master_weekly_4968
masons_apprentice_half,masons,Masons,structural,apprentice,Apprentice,half,Half Day,4,52,1.0,208,Apprentice Masons — Half Day (4h),"Apprentice-tier masons for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,20800,masons_apprentice_half_208
masons_apprentice_full,masons,Masons,structural,apprentice,Apprentice,full,Full Day,8,52,1.0,416,Apprentice Masons — Full Day (8h),"Apprentice-tier masons for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,41600,masons_apprentice_full_416
masons_apprentice_weekly,masons,Masons,structural,apprentice,Apprentice,weekly,Weekly,40,52,0.92,1914,Apprentice Masons — Weekly (40h),"Apprentice-tier masons for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,191400,masons_apprentice_weekly_1914
masons_journeyman_half,masons,Masons,structural,journeyman,Journeyman,half,Half Day,4,76,1.0,304,Journeyman Masons — Half Day (4h),"Journeyman-tier masons for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,30400,masons_journeyman_half_304
